post_id,question_id,title,type,url,open_time,scheduled_close_time,actual_resolve_time,criteria_available,resolution_available
43483,43492,What will be the highest price of copper futures in August 2026?,numeric,https://www.metaculus.com/questions/43483/,2026-07-06T17:00:00Z,2026-08-14T22:59:00Z,2026-09-04T17:07:00Z,False,False
43471,43473,What will be the Global Peace Index score for Iran in 2026?,numeric,https://www.metaculus.com/questions/43471/,2026-05-11T17:00:00Z,2026-06-06T00:00:00Z,2026-06-10T12:42:00Z,False,False
43328,43333,What will be the relative rank of the weakest team to advance to the knockout stage in the 2026 FIFA World Cup?,discrete,https://www.metaculus.com/questions/43328/,2026-05-04T17:00:00Z,2026-06-27T05:00:00Z,2026-06-27T09:00:00Z,False,False
43311,43314,What will be the verdict in Musk v. Altman et al?,multiple_choice,https://www.metaculus.com/questions/43311/,2026-05-04T17:00:00Z,2026-06-10T00:00:00Z,2026-05-18T16:00:00Z,False,False
43333,43336,Will another country announce they will quit OPEC or OPEC+ before September 2026?,binary,https://www.metaculus.com/questions/43333/,2026-05-04T17:00:00Z,2026-08-31T22:59:00Z,2026-09-04T18:09:00Z,False,False
43345,43344,Who will win the 2026 Colombian presidential election?,multiple_choice,https://www.metaculus.com/questions/43345/,2026-05-04T17:00:00Z,2026-06-07T17:00:00Z,2026-06-22T13:50:00Z,False,False
43461,43465,Will at least 5 non-passengers be linked to the MV Hondius hantavirus outbreak before August 2026?,binary,https://www.metaculus.com/questions/43461/,2026-05-07T18:00:00Z,2026-07-01T00:00:00Z,2026-07-06T12:06:00Z,False,False
43360,43360,Will the UK National Threat Level reduce from SEVERE before September 2026?,binary,https://www.metaculus.com/questions/43360/,2026-05-11T15:00:00Z,2026-07-31T22:59:00Z,2026-09-01T16:26:00Z,False,False
43444,43439,Which theatrical production will win Best Play at the 2026 Tony Awards?,multiple_choice,https://www.metaculus.com/questions/43444/,2026-05-11T15:00:00Z,2026-06-06T22:59:00Z,2026-06-07T23:00:00Z,False,False
43455,43462,What percentage of seats will Prosperity win in the 2026 Ethiopian general election?,numeric,https://www.metaculus.com/questions/43455/,2026-05-11T17:00:00Z,2026-06-01T17:00:00Z,2026-06-22T15:38:00Z,False,False
43435,43430,Will Pope Leo XIV visit another country other than Spain before September 2026?,binary,https://www.metaculus.com/questions/43435/,2026-05-18T17:00:00Z,2026-07-14T22:59:00Z,2026-08-22T04:01:00Z,False,False
43440,43437,How many building permits will California issue in March through May 2026?,numeric,https://www.metaculus.com/questions/43440/,2026-05-18T17:00:00Z,2026-07-01T07:00:00Z,2026-06-24T11:47:00Z,False,False
43491,43498,"Will a new High Representative for Bosnia and Herzegovina officially be in place before September 2, 2026?",binary,https://www.metaculus.com/questions/43491/,2026-05-18T17:00:00Z,2026-08-01T11:00:00Z,2026-09-04T17:07:00Z,False,False
43505,43510,Will the Senate of the Philippines remove Vice President Sara Duterte from office before September 2026?,binary,https://www.metaculus.com/questions/43505/,2026-05-18T17:00:00Z,2026-08-31T22:59:00Z,2026-09-04T18:30:00Z,False,False
43479,43488,Will Claude Mythos or a similar model be publicly released before September 2026?,binary,https://www.metaculus.com/questions/43479/,2026-05-25T17:00:00Z,2026-08-15T00:00:00Z,2026-06-09T17:00:00Z,False,False
43494,43501,Will any U.S. state or EU member state restrict large-scale data center grid connections before September 2026?,binary,https://www.metaculus.com/questions/43494/,2026-05-25T17:00:00Z,2026-08-10T00:00:00Z,2026-09-04T18:02:00Z,False,False
43501,43506,"Will Instructure be subject to another major hack before September 1, 2026?",binary,https://www.metaculus.com/questions/43501/,2026-05-25T17:00:00Z,2026-08-01T17:00:00Z,2026-09-04T17:00:00Z,False,False
43521,43519,Which party's candidate will win the 2026 Makerfield by-election?,multiple_choice,https://www.metaculus.com/questions/43521/,2026-05-25T17:00:00Z,2026-06-18T00:00:00Z,2026-06-19T17:06:00Z,False,False
43525,43522,"Will OpenAI's ChatGPT Atlas browser be released for Windows before September 1, 2026?",binary,https://www.metaculus.com/questions/43525/,2026-06-01T17:00:00Z,2026-08-01T00:00:00Z,2026-09-04T18:30:00Z,False,False
43612,43609,What will be the World Bank monthly price of liquid sulphur in June 2026?,numeric,https://www.metaculus.com/questions/43612/,2026-06-01T17:00:00Z,2026-07-15T00:00:00Z,2026-06-08T14:14:00Z,False,False
43486,43495,How many WSOP bracelets will the 2026 Main Event winner hold at the end of the 2026 WSOP season?,discrete,https://www.metaculus.com/questions/43486/,2026-06-08T17:00:00Z,2026-08-03T07:00:00Z,2026-08-09T12:20:00Z,False,False
43335,43339,How much will Toy Story 5 and Minions & Monsters gross domestically during their opening weekends? (Minions & Monsters),numeric,https://www.metaculus.com/questions/43335/,2026-06-01T17:00:00Z,2026-06-30T22:59:00Z,2026-07-08T00:46:00Z,False,False
43335,43338,How much will Toy Story 5 and Minions & Monsters gross domestically during their opening weekends? (Toy Story 5),numeric,https://www.metaculus.com/questions/43335/,2026-06-01T17:00:00Z,2026-06-18T22:59:00Z,2026-06-23T20:58:00Z,False,False
43472,43474,What will be the voter turnout in the 2026 Algerian National People's Assembly elections?,numeric,https://www.metaculus.com/questions/43472/,2026-06-01T17:00:00Z,2026-07-02T00:00:00Z,2026-07-07T14:16:00Z,False,False
43344,43343,Will any match of the 2026 FIFA World Cup be delayed by more than 30 minutes due to extreme heat?,binary,https://www.metaculus.com/questions/43344/,2026-06-08T17:00:00Z,2026-07-03T17:00:00Z,2026-07-19T22:16:00Z,False,False
43367,43363,Will the Community beat Dylan Matthews in the Metaculus Cup Summer 2026?,binary,https://www.metaculus.com/questions/43367/,2026-06-08T17:00:00Z,2026-08-01T04:00:00Z,2026-09-04T19:49:00Z,False,False
43615,43612,"Will Shakira's ""Dai Dai"" outpeak Shakira's ""Waka Waka"" on the Billboard Hot 100?",binary,https://www.metaculus.com/questions/43615/,2026-06-08T17:00:00Z,2026-07-15T00:00:00Z,2026-07-29T11:48:00Z,False,False
43898,43924,"What will happen in the Russia–Ukraine war between July 20 and September 1, 2026?",multiple_choice,https://www.metaculus.com/questions/43898/,2026-07-22T17:00:00Z,2026-08-25T02:59:00Z,2026-09-03T20:02:00Z,False,False
43939,43965,What will SpaceX's stock price be at the end of August 2026?,numeric,https://www.metaculus.com/questions/43939/,2026-06-11T13:30:00Z,2026-08-21T00:00:00Z,2026-08-31T23:18:00Z,False,False
43368,43364,How many Major Atlantic Hurricanes (Category 3 or higher) will occur before September 2026?,multiple_choice,https://www.metaculus.com/questions/43368/,2026-06-15T17:00:00Z,2026-08-20T17:00:00Z,2026-09-03T11:25:00Z,False,False
43681,43701,Will shipping traffic through the Strait of Hormuz return to normal on any day before September 2026?,binary,https://www.metaculus.com/questions/43681/,2026-06-15T17:00:00Z,2026-08-16T00:00:00Z,2026-06-30T13:00:00Z,False,False
43824,43854,Will the Brookmont Catastrophic Bond ETF drop at least $0.25 within two days before September 2026?,binary,https://www.metaculus.com/questions/43824/,2026-06-15T17:00:00Z,2026-08-14T21:00:00Z,2026-09-02T10:26:00Z,False,False
43911,43937,Will the US and India finalise a new bilateral trade agreement before August 2026?,binary,https://www.metaculus.com/questions/43911/,2026-06-15T17:00:00Z,2026-07-31T22:59:00Z,2026-08-01T14:18:00Z,False,False
43900,43926,Will a bot beat all humans in the Summer 2026 Metaculus Cup?,binary,https://www.metaculus.com/questions/43900/,2026-06-22T17:00:00Z,2026-08-10T01:00:00Z,2026-09-04T19:43:00Z,False,False
44151,44166,"What will be the access status of Claude Fable and Mythos on September 1, 2026?",multiple_choice,https://www.metaculus.com/questions/44151/,2026-06-22T17:00:00Z,2026-08-15T00:41:00Z,2026-09-02T10:14:00Z,False,False
43822,43852,Will Iceland vote Yes in the 2026 EU negotiations referendum?,binary,https://www.metaculus.com/questions/43822/,2026-06-22T17:00:00Z,2026-08-01T00:00:00Z,2026-08-30T11:36:00Z,False,False
44117,44139,"Will James M. McDonald be sworn in as US Attorney for the Southern District of New York before August 22, 2026?",binary,https://www.metaculus.com/questions/44117/,2026-06-22T17:00:00Z,2026-08-08T00:00:00Z,2026-07-29T20:46:00Z,False,False
43910,43936,What will be the World Bank monthly price of liquid sulphur (Tampa) for Q3 2026?,numeric,https://www.metaculus.com/questions/43910/,2026-06-30T17:00:00Z,2026-07-24T00:00:00Z,2026-07-13T12:00:00Z,False,False
44229,44240,What percentage of votes will Hakainde Hichilema receive in the first round of Zambia's 2026 presidential elections?,numeric,https://www.metaculus.com/questions/44229/,2026-06-30T17:00:00Z,2026-08-05T22:00:00Z,2026-08-31T15:20:00Z,False,False
43987,44014,Will the United States provide written notices of withdrawal from the USMCA before September 2026?,binary,https://www.metaculus.com/questions/43987/,2026-06-30T17:00:00Z,2026-08-16T06:59:00Z,2026-09-04T18:30:00Z,False,False
44241,44250,Will the Lincoln Memorial Reflecting Pool be fully repaired before September 2026?,binary,https://www.metaculus.com/questions/44241/,2026-06-30T17:00:00Z,2026-08-24T21:00:00Z,2026-09-04T18:30:00Z,False,False
44358,44369,Will the Lebanese Armed Forces deploy to the initial two pilot zones in southern Lebanon before September 2026?,binary,https://www.metaculus.com/questions/44358/,2026-07-06T17:00:00Z,2026-08-24T21:57:00Z,2026-07-28T06:00:00Z,False,False
43347,43345,How many gold medals will Australia win at the 2026 Commonwealth Games?,discrete,https://www.metaculus.com/questions/43347/,2026-07-06T17:00:00Z,2026-07-25T14:30:00Z,2026-08-02T22:20:00Z,False,False
44551,44705,What percentage of the vote will Nigel Farage receive in the Clacton parliamentary by-election in August 2026?,numeric,https://www.metaculus.com/questions/44551/,2026-07-13T17:00:00Z,2026-08-12T22:59:00Z,2026-08-16T21:24:00Z,False,False
44512,44633,Will the Government of Albania or Prime Minister Edi Rama resign before September 2026?,binary,https://www.metaculus.com/questions/44512/,2026-07-13T17:00:00Z,2026-08-24T22:59:00Z,2026-09-04T17:07:00Z,False,False
44550,44704,"What will be the price of Brent crude on August 28, 2026?",numeric,https://www.metaculus.com/questions/44550/,2026-07-13T17:00:00Z,2026-08-25T20:30:00Z,2026-08-31T09:56:00Z,False,False
44676,44835,Who will be the 2026 Republican nominee for U.S. Senator from South Carolina?,multiple_choice,https://www.metaculus.com/questions/44676/,2026-07-18T17:00:00Z,2026-08-11T00:00:00Z,2026-08-26T10:12:00Z,False,False
44671,44830,"How many trillion dollar companies will there be on August 31, 2026?",multiple_choice,https://www.metaculus.com/questions/44671/,2026-07-22T17:00:00Z,2026-08-25T00:00:00Z,2026-09-01T16:28:00Z,False,False
44672,44831,"What will UK Labour Party's 7-poll moving average percent be on August 31, 2026?",discrete,https://www.metaculus.com/questions/44672/,2026-07-22T17:00:00Z,2026-08-24T22:59:00Z,2026-09-02T10:31:00Z,False,False
44708,44859,"Will a U.S. federal agency announce new or expanded model evaluation agreements with both OpenAI and Anthropic before September 3, 2026?",binary,https://www.metaculus.com/questions/44708/,2026-08-12T17:00:00Z,2026-09-02T00:00:00Z,2026-09-04T17:28:00Z,False,False
44790,44937,Who will win Division 1A in the 2026 World Yo-Yo Contest?,multiple_choice,https://www.metaculus.com/questions/44790/,2026-07-27T17:00:00Z,2026-08-13T00:00:00Z,2026-08-18T13:47:00Z,False,False
44791,44938,"What will be the weekly cumulative burnt areas (ha) from forest fires in the EU on August 26, 2026?",numeric,https://www.metaculus.com/questions/44791/,2026-07-27T17:00:00Z,2026-08-25T21:59:00Z,2026-08-27T17:19:00Z,False,False
44917,45066,What will be the total number of US cyclosporiasis hospitalizations before September 2026?,numeric,https://www.metaculus.com/questions/44917/,2026-07-28T17:00:00Z,2026-08-26T22:59:00Z,2026-09-03T16:18:00Z,False,False
