question,horizon,condition,fresh_probability,authors_panel_median,fresh_paired_multiplier,authors_panel_paired_multiplier
ladder:ai:100,6mo,unconditional,0.7,0.91,1.0,1.0
ladder:ai:100,6mo,sq,0.7,0.9105000000000001,1.0,1.0005433306567684
ladder:ai:100,6mo,p1,0.735,0.9155,1.05,1.0060865494218358
ladder:ai:100,6mo,p2a,0.63,0.9,0.9,0.9888264649460884
ladder:ai:100,6mo,p2b,0.42,0.8895,0.6000000000000001,0.9769938117575568
ladder:ai:100,6mo,p3a,0.595,0.89,0.85,0.9767531845997386
ladder:ai:100,6mo,p3b,0.49,0.8745,0.7000000000000001,0.9593126194074515
ladder:ai:100,6mo,p4,0.56,0.895,0.8000000000000002,0.9816384441777529
ladder:ai:100,6mo,p5,0.28,0.859,0.4000000000000001,0.940822086704181
ladder:ai:100,6mo,eci_p10,0.35,0.8734999999999999,0.49999999999999994,0.9583001519808654
ladder:ai:100,6mo,eci_p25,0.525,0.8895,0.7500000000000001,0.9764957038559477
ladder:ai:100,6mo,eci_p50,0.7,0.905,1.0,1.0
ladder:ai:100,6mo,eci_p75,0.99,0.9255,1.4142857142857144,1.0175995145094285
ladder:ai:100,6mo,eci_p90,0.99,0.938,1.4142857142857144,1.0349675814907644
ladder:ai:100,12mo,unconditional,0.85,0.9675,1.0,1.0
ladder:ai:100,12mo,sq,0.85,0.968,1.0,1.0015432025825945
ladder:ai:100,12mo,p1,0.8925,0.9675,1.05,1.0025529783695362
ladder:ai:100,12mo,p2a,0.765,0.9664999999999999,0.9,0.997440487228372
ladder:ai:100,12mo,p2b,0.51,0.963,0.6,0.9938423444680776
ladder:ai:100,12mo,p3a,0.7225,0.9615,0.8500000000000001,0.9917926529028398
ladder:ai:100,12mo,p3b,0.595,0.9544999999999999,0.7,0.9850676622700445
ladder:ai:100,12mo,p4,0.68,0.9624999999999999,0.8,0.9923122245247308
ladder:ai:100,12mo,p5,0.34,0.944,0.4000000000000001,0.9741350838329315
ladder:ai:100,12mo,eci_p10,0.425,0.949,0.5,0.9793583656928777
ladder:ai:100,12mo,eci_p25,0.6375,0.962,0.7499999999999999,0.9928140541312035
ladder:ai:100,12mo,eci_p50,0.85,0.9675,1.0,1.0
ladder:ai:100,12mo,eci_p75,0.99,0.9684999999999999,1.1647058823529413,1.0051137779097286
ladder:ai:100,12mo,eci_p90,0.99,0.969,1.1647058823529413,1.0101950028010076
ladder:ai:100,2028,unconditional,0.98,0.9915,1.0,1.0
ladder:ai:100,2028,sq,0.98,0.993,1.0,1.0005008765653411
ladder:ai:100,2028,p1,0.99,0.9935,1.010204081632653,1.000601021791213
ladder:ai:100,2028,p2a,0.882,0.9914000000000001,0.9,0.999398212894338
ladder:ai:100,2028,p2b,0.588,0.99135,0.6,0.9988465761170886
